molecule_id,final_score,epoch_number,target_protein,miner_uid,smiles,miner_hotkey,miner_coldkey,created_at
rxn:1:60111:32836,0.1386597427454862,23193.0,Q4QQW4,27.0,O=C(Nc1ccccc1)NC1(c2cn(I)nn2)CCCCC1,5Cu82Kk362oZUA3Lk91TwYcmzpRbTL9YW5DFkRX91E9puZfM,5CwisvtrcF386MhHuUdrV5pDbBniYP1HoXP8r631yxheX3tM,2026-06-10T02:30:14+00:00
rxn:1:48865:39392,0.1385151982307434,23193.0,Q4QQW4,28.0,CCCC(=O)c1cn(-c2ccc(CN(C)C)cc2)nn1,5DHyJYdpU4yditLtgpgW3sVMGDWV9jCKE6S155YLa4RakXoz,5F1RWsGeB9MbEeDi7yAmW2FpyUQi3AZ6uuqt7RbSE5DjpHQH,2026-06-10T02:30:14+00:00
rxn:1:55904:39640,0.1384006114233108,23205.0,Q4QQW4,49.0,CN(Cc1cn(-c2ncc(Br)s2)nn1)c1csc(C=O)c1,5C7nC15ebbcwAmhUP18pV1zhKiXAswK9MKLFkFFTMzm3mwpy,5DDSVRzLJ9ysTGSYe86QxBJBZ2dtktj9abdgxDXJ8Z6SrBdY,2026-06-10T17:02:24+00:00
rxn:1:60111:38102,0.1380476309702947,23189.0,Q4QQW4,14.0,Brc1cncc(-c2cn(I)nn2)c1,5FLFxfZHgSdKfUCiCfSGainQohZx96Nn7NigoqWrRBfs4tQ8,5ExiQCRMeekU5w4RNfL6AsxgQZjcpTBseNZLPW5Zfgyh7pJd,2026-06-09T21:45:13+00:00
rxn:1:65513:39638,0.1379639431834221,23169.0,Q4QQW4,59.0,Cc1cc(C=O)cnc1N(C)Cc1cn(-c2ccc(I)cc2)nn1,5CPuLZDi2DTNSsbj1LxfVMiPZZVyv7RTWxGEPmxkiscLvFW8,5EvpaL11ef7DmbyH7JZvRypq4mRVDuBNUVVMjhsnMU8GdDy5,2026-06-08T21:41:10+00:00
rxn:1:60111:123810,0.137809,,,,,,,
rxn:1:62193:2180,0.1375906571097996,23213.0,Q4QQW4,17.0,CSCC(N)c1cn(-c2ccc(CN3CCCCC3)cc2)nn1,5FxN6Q8RqwJ7XQbQYFVijog4qfu1HUoMfia2r9tgPSMZsciZ,5CwisvtrcF386MhHuUdrV5pDbBniYP1HoXP8r631yxheX3tM,2026-06-11T02:32:45+00:00
rxn:1:61791:7439,0.1375022367997603,23205.0,Q4QQW4,50.0,C[Si](C)(CCCCl)c1cn(-c2ccc(I)cc2[N+](=O)[O-])nn1,5G1Exww53xg6TtNd3mvoxm2Ea6gcALPMXJaAmXN1UQWnrXbM,5EvpaL11ef7DmbyH7JZvRypq4mRVDuBNUVVMjhsnMU8GdDy5,2026-06-10T17:02:24+00:00
rxn:1:50325:2756,0.1374928443520158,23206.0,Q4QQW4,52.0,Cc1cc(Br)c(-c2cn(CC3C(c4ccc(C(=O)NN)s4)C3(F)F)nn2)s1,5F4QDXd8LDZJ2LZJTcfzX8WFmTx4bMNxMnzStHQJGhz5hAcH,5CwisvtrcF386MhHuUdrV5pDbBniYP1HoXP8r631yxheX3tM,2026-06-10T18:09:29+00:00
rxn:1:49433:39712,0.1373515961801305,23205.0,Q4QQW4,30.0,FS(F)(F)(F)(F)c1cn(C2(CI)CNC2)nn1,5DepSUKmnctbQs9G6c2pjgr7ZCD9y8ZTtJw5iRXVePhvmD5X,5EvpaL11ef7DmbyH7JZvRypq4mRVDuBNUVVMjhsnMU8GdDy5,2026-06-10T17:02:24+00:00
